Song-Name,Singer/Artists,Genre,Album/Movie,User-Rating,similarity_factor
Coca Cola,"Neha Kakkar, Tony Kakkar",BollywoodDanceRomantic,Luka Chuppi,,1.0000000000000002
Ishq Di Baajiyan,Diljit Dosanjh,BollywoodRomantic,Soorma,,0.0
Soorma Anthem,Shankar Mahadevan,BollywoodMotivational,Soorma,,0.0
Tere Ishq Ka Suroor,"Aaman Trikha, Akshata Dixit",BollywoodRomantic,Single,,0.0
Rang De,"Shankar Mahadevan, Suraj Jagan",BollywoodMotivational,My Name is Khan,,0.0
Saawali Si Raat,Arijit Singh,BollywoodRomantic,Barfi,,0.0
Sawarne Lage,Jubin Nautiyal,BollywoodRomantic,Mitron,,0.0
Ishq Bulaava,Sanam Puri,BollywoodRomantic,Hasee Toh Phasee,,0.0
Tere Mere,Armaan Malik,BollywoodSad,Chef,,0.0
Des Mere Des,"A.R. Rahman, Sukhwinder Singh",BollywoodPatriotic,The Legend Of Bhagat Singh,,0.0
Gazab Ka Hai Din,"Jubin Nautiyal, Prakriti Kakkar",BollywoodRomantic,Dil Juunglee,,0.0
Is Nagari Mein,Jagjit Singh,BollywoodSad,Bhopal Express,,0.0
Saaiyaan,Salim Sulaiman,BollywoodSad,Heroine,,0.0
Monta Re,Amit Trivedi,BollywoodSad,Lootera,,0.0
Pal,"Arijit Singh, Shreya Ghoshal",BollywoodRomantic,Jalebi,,0.0
Main Hoon Saath Tere,Arijit Singh,BollywoodRomantic,Shaadi Mein Zaroor Aana,,0.0
Mera Jeena Hai Kya,Neeraj Shridhar,BollywoodRomantic,Aashayein,,0.0
Ab Tohe Jane Na Doongi,"Payal Dev, Shreyas Puranik",BollywoodRomantic,Bajirao Mastani,,0.0
Lae Dooba,Sunidhi Chauhan,BollywoodSad,Aiyaary,,0.0
Arziyan,"Javed Ali, Kailash Kher",Bollywood,Delhi-6,,0.0
Mantoiyat,Raftaar,Bollywood,Manto,,0.0
Junooniyat,"Falak Shabir, Meet Bros",BollywoodRomantic,Sanam Re,,0.0
Le Jaa Tu Mujhe,Atif Aslam,Bollywood,F.A.L.T.U,,0.0
Shukriya Zindagi Shukriya Zindagi,Shafqat Amanat Ali,BollywoodRomantic,Aashayein,,0.0
Sapna,Arijit Singh,BollywoodSad,Parmanu The Story of Pokhran,,0.0
Yaari Yaari,Ram Sampath,Bollywood,Purani Jeans,,0.0
Jaan Nisaar,Arijit Singh,BollywoodRomantic,Kedarnath,,0.0
Tum,Atif Aslam,BollywoodRomantic,Laila Majnu,,0.0
Yaaron Aesa Hai,Salim Merchant,BollywoodDance,Rangrezz,,0.0
Jannatein Kahan,K.K.,BollywoodDance,Jannat 2,,0.0
Chota Sa Fasana,Arijit Singh,Bollywood,Karwaan,,0.0
Pardesiya,"Ehsaan Noorani, Hemant Brijwasi, Sahil Akhtar, Shankar Mahadevan, Shehnaz Akhtar",BollywoodSad,Soorma,,0.0
Roobaroo,"A.R. Rahman, Naresh Iyer",BollywoodDance,Rang De Basanti,,0.0
Khwahishein,Shreya Ghoshal,BollywoodRomantic,Heroine,,0.0
Sapna Jahan,"Neeti Mohan, Sonu Nigam",BollywoodSad,Brothers,,0.0
Door Na Ja,Sonu Nigam,BollywoodSad,Mitron,,0.0
Tera Mera Rishta,"KK, Shreya Ghoshal",BollywoodRomantic,Jalebi,,0.0
Ghar,"Mohit Chauhan, Nikhita Gandhi",BollywoodSad,Jab Harry Met Sejal,,0.0
